date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:46:00	24/24	---M--	200	added ('OK')	text/plain	date:Sat,%2015%20Jul%202023%2001:30:40%20GMT	http://flashdeamond.com/robots.txt		(from )
15:46:07	9079/9079	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2014:46:10%20GMT	http://flashdeamond.com/	C:/My%20Web%20Sites/flashdeamond/flashdeamond.com/index.html	(from )
15:46:17	19451/19451	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2014:46:21%20GMT	https://flashdeamond.com/home	C:/My%20Web%20Sites/flashdeamond/flashdeamond.com/home.html	(from http://flashdeamond.com/)
15:46:20	12800/12800	---MCZ	200	added ('OK')	text/javascript	etag:W/%22708f25080ac01272974ffa58559ab800%22	https://s3.tradingview.com/external-embedding/embed-widget-timeline.js	C:/My%20Web%20Sites/flashdeamond/s3.tradingview.com/external-embedding/embed-widget-timeline.js	(from http://flashdeamond.com/)
15:46:24	308939/308939	---M--	200	added ('OK')	image/jpeg	date:Mon,%2006%20May%202024%2012:52:20%20GMT	http://flashdeamond.com/2d686878402297.5ca6085aa8e1d.jpg	C:/My%20Web%20Sites/flashdeamond/flashdeamond.com/2d686878402297.5ca6085aa8e1d.jpg	(from http://flashdeamond.com/)
15:46:24	186534/186534	---M--	200	added ('OK')	text/javascript	etag:14252357292394802339	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-9191372026255600	C:/My%20Web%20Sites/flashdeamond/pagead2.googlesyndication.com/pagead/js/f4f63.txt	(from http://flashdeamond.com/)
15:46:26	24/24	---M--	200	added ('OK')	text/plain	date:Sat,%2015%20Jul%202023%2001:30:40%20GMT	https://flashdeamond.com/robots.txt		(from http://flashdeamond.com/)
15:46:27	43308/43308	---M-Z	200	added ('OK')	text/css	date:Sat,%2015%20Jul%202023%2001:30:50%20GMT	https://flashdeamond.com/css/app.css	C:/My%20Web%20Sites/flashdeamond/flashdeamond.com/css/app.css	(from https://flashdeamond.com/home)
15:46:27	204941/204941	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Oct%202023%2019:14:00%20GMT	https://i.im.ge/2023/10/14/PcyAOq.BEST-TRANSACTION-GENERATOR.png	C:/My%20Web%20Sites/flashdeamond/i.im.ge/2023/10/14/PcyAOq.BEST-TRANSACTION-GENERATOR.png	(from http://flashdeamond.com/)
15:46:28	59305/59305	---M-Z	200	added ('OK')	text/css	etag:%22613fa20b-3171%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	C:/My%20Web%20Sites/flashdeamond/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/css/all.min.css	(from https://flashdeamond.com/home)
15:46:28	61128/61128	---M--	200	added ('OK')	image/jpeg	date:Thu,%2012%20Oct%202023%2019:44:54%20GMT	https://i.im.ge/2023/10/13/PAc3Z1.photo-2023-10-06-22-27-00.jpg	C:/My%20Web%20Sites/flashdeamond/i.im.ge/2023/10/13/PAc3Z1.photo-2023-10-06-22-27-00.jpg	(from https://flashdeamond.com/home)
15:46:30	3368/3368	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2014:46:40%20GMT	https://flashdeamond.com/login	C:/My%20Web%20Sites/flashdeamond/flashdeamond.com/login.html	(from https://flashdeamond.com/home)
15:46:31	4542/4542	---M-Z	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2014:46:41%20GMT	https://flashdeamond.com/register	C:/My%20Web%20Sites/flashdeamond/flashdeamond.com/register.html	(from https://flashdeamond.com/home)
15:46:32	6488/6488	---M-Z	200	added ('OK')	text/javascript	date:Sat,%2015%20Jul%202023%2001:30:50%20GMT	https://flashdeamond.com/js/app.js	C:/My%20Web%20Sites/flashdeamond/flashdeamond.com/js/app.js	(from https://flashdeamond.com/home)
15:46:32	64120/64120	---M-Z	200	added ('OK')	application/javascript	etag:%22659cb186-361e%22	https://cdnjs.cloudflare.com/ajax/libs/flowbite/1.6.6/flowbite.min.js	C:/My%20Web%20Sites/flashdeamond/cdnjs.cloudflare.com/ajax/libs/flowbite/1.6.6/flowbite.min.js	(from https://flashdeamond.com/home)
15:46:35	140857/140857	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b2fa2148218fc7c9067ad00a2a3558b0%22	https://widget.myalice.ai/index.js	C:/My%20Web%20Sites/flashdeamond/widget.myalice.ai/index.js	(from https://flashdeamond.com/register)
15:46:35	1196706/1196706	---M-Z	200	added ('OK')	application/javascript	etag:%22613fa20b-6b112%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/js/all.min.js	C:/My%20Web%20Sites/flashdeamond/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.4/js/all.min.js	(from https://flashdeamond.com/home)
